,Region,Country,State,City,Month,Day,Year,AvgTemperature,AvgTemp_Celcius,data,mes_ano
0,South/Central America & Carribean,Brazil,,Brasilia,1,1,1995,70.9,21.611111111111114,1995-01-01,1995-01
1,South/Central America & Carribean,Brazil,,Brasilia,1,2,1995,71.7,22.055555555555557,1995-01-02,1995-01
2,South/Central America & Carribean,Brazil,,Brasilia,1,3,1995,71.2,21.77777777777778,1995-01-03,1995-01
3,South/Central America & Carribean,Brazil,,Brasilia,1,4,1995,69.2,20.666666666666668,1995-01-04,1995-01
4,South/Central America & Carribean,Brazil,,Brasilia,1,5,1995,68.5,20.27777777777778,1995-01-05,1995-01
5,South/Central America & Carribean,Brazil,,Brasilia,1,6,1995,70.6,21.444444444444443,1995-01-06,1995-01
6,South/Central America & Carribean,Brazil,,Brasilia,1,7,1995,72.6,22.555555555555554,1995-01-07,1995-01
7,South/Central America & Carribean,Brazil,,Brasilia,1,8,1995,74.0,23.333333333333332,1995-01-08,1995-01
8,South/Central America & Carribean,Brazil,,Brasilia,1,9,1995,74.0,23.333333333333332,1995-01-09,1995-01
9,South/Central America & Carribean,Brazil,,Brasilia,1,10,1995,73.7,23.166666666666668,1995-01-10,1995-01
10,South/Central America & Carribean,Brazil,,Brasilia,1,11,1995,74.5,23.61111111111111,1995-01-11,1995-01
11,South/Central America & Carribean,Brazil,,Brasilia,1,12,1995,74.5,23.61111111111111,1995-01-12,1995-01
12,South/Central America & Carribean,Brazil,,Brasilia,1,13,1995,74.0,23.333333333333332,1995-01-13,1995-01
13,South/Central America & Carribean,Brazil,,Brasilia,1,14,1995,74.7,23.72222222222222,1995-01-14,1995-01
14,South/Central America & Carribean,Brazil,,Brasilia,1,15,1995,74.8,23.77777777777778,1995-01-15,1995-01
15,South/Central America & Carribean,Brazil,,Brasilia,1,16,1995,75.9,24.388888888888893,1995-01-16,1995-01
16,South/Central America & Carribean,Brazil,,Brasilia,1,17,1995,77.9,25.500000000000004,1995-01-17,1995-01
17,South/Central America & Carribean,Brazil,,Brasilia,1,18,1995,76.6,24.777777777777775,1995-01-18,1995-01
18,South/Central America & Carribean,Brazil,,Brasilia,1,19,1995,69.7,20.944444444444443,1995-01-19,1995-01
19,South/Central America & Carribean,Brazil,,Brasilia,1,20,1995,69.7,20.944444444444443,1995-01-20,1995-01
20,South/Central America & Carribean,Brazil,,Brasilia,1,21,1995,73.8,23.22222222222222,1995-01-21,1995-01
21,South/Central America & Carribean,Brazil,,Brasilia,1,22,1995,73.4,23.000000000000004,1995-01-22,1995-01
22,South/Central America & Carribean,Brazil,,Brasilia,1,23,1995,72.5,22.5,1995-01-23,1995-01
23,South/Central America & Carribean,Brazil,,Brasilia,1,24,1995,72.7,22.61111111111111,1995-01-24,1995-01
24,South/Central America & Carribean,Brazil,,Brasilia,1,25,1995,72.4,22.444444444444446,1995-01-25,1995-01
25,South/Central America & Carribean,Brazil,,Brasilia,1,26,1995,71.7,22.055555555555557,1995-01-26,1995-01
26,South/Central America & Carribean,Brazil,,Brasilia,1,27,1995,69.9,21.055555555555557,1995-01-27,1995-01
27,South/Central America & Carribean,Brazil,,Brasilia,1,28,1995,71.9,22.16666666666667,1995-01-28,1995-01
28,South/Central America & Carribean,Brazil,,Brasilia,1,29,1995,72.7,22.61111111111111,1995-01-29,1995-01
29,South/Central America & Carribean,Brazil,,Brasilia,1,30,1995,70.0,21.11111111111111,1995-01-30,1995-01
30,South/Central America & Carribean,Brazil,,Brasilia,1,31,1995,69.8,21.0,1995-01-31,1995-01
31,South/Central America & Carribean,Brazil,,Brasilia,2,1,1995,70.6,21.444444444444443,1995-02-01,1995-02
32,South/Central America & Carribean,Brazil,,Brasilia,2,2,1995,71.0,21.666666666666668,1995-02-02,1995-02
33,South/Central America & Carribean,Brazil,,Brasilia,2,3,1995,69.6,20.888888888888886,1995-02-03,1995-02
34,South/Central America & Carribean,Brazil,,Brasilia,2,4,1995,71.9,22.16666666666667,1995-02-04,1995-02
35,South/Central America & Carribean,Brazil,,Brasilia,2,5,1995,72.7,22.61111111111111,1995-02-05,1995-02
36,South/Central America & Carribean,Brazil,,Brasilia,2,6,1995,73.1,22.83333333333333,1995-02-06,1995-02
37,South/Central America & Carribean,Brazil,,Brasilia,2,7,1995,74.6,23.666666666666664,1995-02-07,1995-02
38,South/Central America & Carribean,Brazil,,Brasilia,2,8,1995,70.5,21.38888888888889,1995-02-08,1995-02
39,South/Central America & Carribean,Brazil,,Brasilia,2,9,1995,71.5,21.944444444444443,1995-02-09,1995-02
40,South/Central America & Carribean,Brazil,,Brasilia,2,10,1995,70.9,21.611111111111114,1995-02-10,1995-02
41,South/Central America & Carribean,Brazil,,Brasilia,2,11,1995,71.1,21.722222222222218,1995-02-11,1995-02
42,South/Central America & Carribean,Brazil,,Brasilia,2,12,1995,72.1,22.277777777777775,1995-02-12,1995-02
43,South/Central America & Carribean,Brazil,,Brasilia,2,13,1995,74.4,23.555555555555557,1995-02-13,1995-02
44,South/Central America & Carribean,Brazil,,Brasilia,2,14,1995,74.9,23.833333333333336,1995-02-14,1995-02
45,South/Central America & Carribean,Brazil,,Brasilia,2,15,1995,71.9,22.16666666666667,1995-02-15,1995-02
46,South/Central America & Carribean,Brazil,,Brasilia,2,16,1995,73.5,23.055555555555557,1995-02-16,1995-02
47,South/Central America & Carribean,Brazil,,Brasilia,2,17,1995,72.6,22.555555555555554,1995-02-17,1995-02
48,South/Central America & Carribean,Brazil,,Brasilia,2,18,1995,69.1,20.611111111111107,1995-02-18,1995-02
49,South/Central America & Carribean,Brazil,,Brasilia,2,19,1995,72.1,22.277777777777775,1995-02-19,1995-02
50,South/Central America & Carribean,Brazil,,Brasilia,2,20,1995,70.6,21.444444444444443,1995-02-20,1995-02
51,South/Central America & Carribean,Brazil,,Brasilia,2,21,1995,71.1,21.722222222222218,1995-02-21,1995-02
52,South/Central America & Carribean,Brazil,,Brasilia,2,22,1995,74.1,23.388888888888886,1995-02-22,1995-02
53,South/Central America & Carribean,Brazil,,Brasilia,2,23,1995,75.8,24.333333333333332,1995-02-23,1995-02
54,South/Central America & Carribean,Brazil,,Brasilia,2,24,1995,73.8,23.22222222222222,1995-02-24,1995-02
55,South/Central America & Carribean,Brazil,,Brasilia,2,25,1995,76.7,24.833333333333332,1995-02-25,1995-02
56,South/Central America & Carribean,Brazil,,Brasilia,2,26,1995,75.5,24.166666666666668,1995-02-26,1995-02
57,South/Central America & Carribean,Brazil,,Brasilia,2,27,1995,73.9,23.277777777777782,1995-02-27,1995-02
58,South/Central America & Carribean,Brazil,,Brasilia,2,28,1995,70.9,21.611111111111114,1995-02-28,1995-02
59,South/Central America & Carribean,Brazil,,Brasilia,3,1,1995,71.0,21.666666666666668,1995-03-01,1995-03
60,South/Central America & Carribean,Brazil,,Brasilia,3,2,1995,74.6,23.666666666666664,1995-03-02,1995-03
61,South/Central America & Carribean,Brazil,,Brasilia,3,3,1995,75.4,24.111111111111114,1995-03-03,1995-03
62,South/Central America & Carribean,Brazil,,Brasilia,3,4,1995,76.3,24.61111111111111,1995-03-04,1995-03
63,South/Central America & Carribean,Brazil,,Brasilia,3,5,1995,76.2,24.555555555555557,1995-03-05,1995-03
64,South/Central America & Carribean,Brazil,,Brasilia,3,6,1995,73.1,22.83333333333333,1995-03-06,1995-03
65,South/Central America & Carribean,Brazil,,Brasilia,3,7,1995,72.6,22.555555555555554,1995-03-07,1995-03
66,South/Central America & Carribean,Brazil,,Brasilia,3,8,1995,70.3,21.27777777777778,1995-03-08,1995-03
67,South/Central America & Carribean,Brazil,,Brasilia,3,9,1995,73.7,23.166666666666668,1995-03-09,1995-03
68,South/Central America & Carribean,Brazil,,Brasilia,3,10,1995,73.6,23.111111111111107,1995-03-10,1995-03
69,South/Central America & Carribean,Brazil,,Brasilia,3,11,1995,73.9,23.277777777777782,1995-03-11,1995-03
70,South/Central America & Carribean,Brazil,,Brasilia,3,12,1995,75.6,24.222222222222218,1995-03-12,1995-03
71,South/Central America & Carribean,Brazil,,Brasilia,3,13,1995,73.6,23.111111111111107,1995-03-13,1995-03
72,South/Central America & Carribean,Brazil,,Brasilia,3,14,1995,72.8,22.666666666666668,1995-03-14,1995-03
73,South/Central America & Carribean,Brazil,,Brasilia,3,15,1995,71.1,21.722222222222218,1995-03-15,1995-03
74,South/Central America & Carribean,Brazil,,Brasilia,3,16,1995,72.7,22.61111111111111,1995-03-16,1995-03
75,South/Central America & Carribean,Brazil,,Brasilia,3,17,1995,73.7,23.166666666666668,1995-03-17,1995-03
76,South/Central America & Carribean,Brazil,,Brasilia,3,18,1995,74.9,23.833333333333336,1995-03-18,1995-03
77,South/Central America & Carribean,Brazil,,Brasilia,3,19,1995,69.5,20.833333333333332,1995-03-19,1995-03
78,South/Central America & Carribean,Brazil,,Brasilia,3,20,1995,73.2,22.88888888888889,1995-03-20,1995-03
79,South/Central America & Carribean,Brazil,,Brasilia,3,21,1995,74.1,23.388888888888886,1995-03-21,1995-03
80,South/Central America & Carribean,Brazil,,Brasilia,3,22,1995,70.5,21.38888888888889,1995-03-22,1995-03
81,South/Central America & Carribean,Brazil,,Brasilia,3,23,1995,71.7,22.055555555555557,1995-03-23,1995-03
82,South/Central America & Carribean,Brazil,,Brasilia,3,24,1995,70.6,21.444444444444443,1995-03-24,1995-03
83,South/Central America & Carribean,Brazil,,Brasilia,3,25,1995,73.5,23.055555555555557,1995-03-25,1995-03
84,South/Central America & Carribean,Brazil,,Brasilia,3,26,1995,72.9,22.722222222222225,1995-03-26,1995-03
85,South/Central America & Carribean,Brazil,,Brasilia,3,27,1995,72.0,22.22222222222222,1995-03-27,1995-03
86,South/Central America & Carribean,Brazil,,Brasilia,3,28,1995,72.4,22.444444444444446,1995-03-28,1995-03
87,South/Central America & Carribean,Brazil,,Brasilia,3,29,1995,72.9,22.722222222222225,1995-03-29,1995-03
88,South/Central America & Carribean,Brazil,,Brasilia,3,30,1995,72.5,22.5,1995-03-30,1995-03
89,South/Central America & Carribean,Brazil,,Brasilia,3,31,1995,71.9,22.16666666666667,1995-03-31,1995-03
90,South/Central America & Carribean,Brazil,,Brasilia,4,1,1995,72.5,22.5,1995-04-01,1995-04
91,South/Central America & Carribean,Brazil,,Brasilia,4,2,1995,74.1,23.388888888888886,1995-04-02,1995-04
92,South/Central America & Carribean,Brazil,,Brasilia,4,3,1995,72.9,22.722222222222225,1995-04-03,1995-04
93,South/Central America & Carribean,Brazil,,Brasilia,4,4,1995,72.9,22.722222222222225,1995-04-04,1995-04
94,South/Central America & Carribean,Brazil,,Brasilia,4,5,1995,71.5,21.944444444444443,1995-04-05,1995-04
95,South/Central America & Carribean,Brazil,,Brasilia,4,6,1995,69.9,21.055555555555557,1995-04-06,1995-04
96,South/Central America & Carribean,Brazil,,Brasilia,4,7,1995,70.7,21.5,1995-04-07,1995-04
97,South/Central America & Carribean,Brazil,,Brasilia,4,8,1995,71.0,21.666666666666668,1995-04-08,1995-04
98,South/Central America & Carribean,Brazil,,Brasilia,4,9,1995,71.9,22.16666666666667,1995-04-09,1995-04
99,South/Central America & Carribean,Brazil,,Brasilia,4,10,1995,71.4,21.888888888888893,1995-04-10,1995-04
100,South/Central America & Carribean,Brazil,,Brasilia,4,11,1995,71.4,21.888888888888893,1995-04-11,1995-04
101,South/Central America & Carribean,Brazil,,Brasilia,4,12,1995,71.0,21.666666666666668,1995-04-12,1995-04
102,South/Central America & Carribean,Brazil,,Brasilia,4,13,1995,69.4,20.777777777777782,1995-04-13,1995-04
103,South/Central America & Carribean,Brazil,,Brasilia,4,14,1995,71.2,21.77777777777778,1995-04-14,1995-04
104,South/Central America & Carribean,Brazil,,Brasilia,4,15,1995,71.3,21.833333333333332,1995-04-15,1995-04
105,South/Central America & Carribean,Brazil,,Brasilia,4,16,1995,72.9,22.722222222222225,1995-04-16,1995-04
106,South/Central America & Carribean,Brazil,,Brasilia,4,17,1995,72.5,22.5,1995-04-17,1995-04
107,South/Central America & Carribean,Brazil,,Brasilia,4,18,1995,72.2,22.333333333333332,1995-04-18,1995-04
108,South/Central America & Carribean,Brazil,,Brasilia,4,19,1995,71.9,22.16666666666667,1995-04-19,1995-04
109,South/Central America & Carribean,Brazil,,Brasilia,4,20,1995,71.2,21.77777777777778,1995-04-20,1995-04
